sites,Ecoord,Ncoord,height,velocity,azimuth,Vu,hgt,erreast,errnorth
IBAZ,42173.1739,-919208.7877,-67087.8326,0,0,0,0,0,0
TRC3,84873.3753,-887535.0761,-62865.6477,1.421944346,6.77671393,2.67307,3.5014283,0.4,0.5
TARL,107563.0442,-905453.2137,-65823.7939,1.987807194,328.2995368,-2.35591,0.7071068,0.3,0.3
CUYP,116246.7769,-865120.6619,-60288.4323,4.560375822,295.605386,8.46345,3.0016662,0.2,0.8
BNBA,146466.8691,-862508.2319,-60436.6777,12.11526984,320.2486225,3.16661,1.5033296,0.4,0.3
PABL,157402.4183,-867675.3775,-61384.966,17.51853475,319.2288181,0.53907,2.1023796,0.5,0.4
BGB1,173888.4897,-881690.1258,-63822.9057,20.89033667,317.6934287,3.01574,1.1045361,0.5,0.6
MRIK,177398.7464,-865912.567,-61622.9538,23.60130347,326.123634,10.571,3.5014283,0.8,0.4
AR17,192503.4421,-872285.4516,-63094.3997,25.61277904,323.1137633,12.57352,3.8013156,0.7,0.8
AURA,207865.7991,-871274.9534,-63521.2112,27.7809807,324.1044278,4.9698,0.223607,0.1,0.2
DIPA,212135.3143,-851969.3729,-61025.9858,29.65221668,322.2327436,6.98384,1.9026298,1.6,0.8
ANQ0,219846.5935,-814836.4604,-56168.4015,30.96581919,327.8830322,28.11375,9.8005102,0.9,1.4
DINA,252358.8585,-827548.4478,-59242.4292,30.87806604,323.3550809,7.78542,3.0016662,0.7,0.5
